"BEAT","DISTRICT"
"111","Northwest"
"112","Northwest"
"113","Northwest"
"114","Northwest"
"121","Northwest"
"122","Northwest"
"123","Northwest"
"211","North"
"212","North"
"213","North"
"214","North"
"215","North"
"216","North"
"217","North"
"221","North"
"222","North"
"223","North"
"224","North"
"225","North"
"226","North"
"311","Northeast"
"312","Northeast"
"312","Northeast"
"312","Northeast"
"313","Northeast"
"314","Northeast"
"315","Northeast"
"315","Northeast"
"321","Northeast"
"322","Northeast"
"323","Northeast"
"324","Northeast"
"411","Southeast"
"412","Southeast"
"413","Southeast"
"414","Southeast"
"421","Southeast"
"422","Southeast"
"423","Southeast"
"424","Southeast"
"431","Southeast"
"432","Southeast"
"433","Southeast"
"434","Southeast"
"511","Downtown"
"512","Downtown"
"513","Downtown"
"514","Downtown"
"515","Downtown"
"516","Downtown"
"521","Downtown"
"522","Downtown"
"523","Downtown"
"524","Downtown"
"525","Downtown"
"611","Southwest"
"612","Southwest"
"613","Southwest"
"614","Southwest"
"615","Southwest"
"616","Southwest"
"621","Southwest"
"622","Southwest"
"623","Southwest"
"624","Southwest"
"625","Southwest"
